date,country,points
2010-06-11,France,0.0
2010-06-13,Germany,12.5
2010-06-14,Netherlands,12.5
2010-06-14,Japan,12.5
2010-06-15,Brazil,12.5
2010-06-15,Portugal,0.0
2010-06-16,Spain,-12.5
2010-06-16,Switzerland,12.5
2010-06-17,France,-12.5
2010-06-18,Germany,-0.5991720060337631
2010-06-19,Japan,0.0
2010-06-19,Netherlands,25.0
2010-06-20,Brazil,24.70024171340294
2010-06-21,Portugal,12.200241713402937
2010-06-21,Switzerland,0.0
2010-06-21,Spain,0.0
2010-06-22,France,-25.0
2010-06-23,Germany,11.601069707369174
2010-06-24,Japan,12.5
2010-06-24,Netherlands,36.304403045767465
2010-06-25,Spain,11.900827993966237
2010-06-25,Portugal,11.900483426805874
2010-06-25,Brazil,24.400483426805877
2010-06-25,Switzerland,-0.599172006033763
2010-06-27,Germany,24.093888191836268
2010-06-28,Brazil,36.60073339998965
2010-06-28,Netherlands,47.927883546870554
2010-06-29,Japan,12.49281021993642
2010-06-29,Spain,24.40081972943283
2010-06-29,Portugal,-0.5995248377275342
2010-07-02,Brazil,23.829091516191102
2010-07-02,Netherlands,60.15624166307201
2010-07-03,Germany,36.00851647470749
2010-07-03,Spain,36.60806677126387
2010-07-06,Netherlands,72.08380000708416
2010-07-07,Germany,23.494136110475
2010-07-07,Spain,49.093686407031385
2010-07-10,Germany,35.98709802821305
2010-07-11,Spain,61.042619941953
2010-07-11,Netherlands,59.03273354200578
2011-07-23,Iran,12.5
2011-07-28,Iran,24.40082799396624
2011-09-02,Iran,36.615433129695674
2011-09-02,Japan,23.783137662646336
2011-09-06,Japan,23.46857285973435
2011-09-06,Iran,35.72400143902042
2011-10-11,Iran,47.666836485592896
2011-10-11,Japan,35.35532401028385
2011-11-11,Iran,46.512964843182736
2011-11-11,Japan,46.64574762592557
2011-11-15,Japan,31.391526100827733
2011-11-15,Iran,56.9817242756901
2012-02-29,Iran,56.138636638874694
2012-02-29,Japan,18.02045674154457
2012-06-03,Japan,30.433098773805398
2012-06-03,Iran,68.08116617306594
2012-06-08,Japan,42.90494502892079
2012-06-12,Japan,42.84085065891471
2012-06-12,Iran,66.93856884974656
2012-09-07,Germany,47.62530739577915
2012-09-07,France,-13.099172006033763
2012-09-07,Portugal,11.88609540867583
2012-09-07,Belgium,12.5
2012-09-07,Netherlands,70.12284286743443
2012-09-07,Switzerland,11.900819729432829
2012-09-11,France,-0.613543296881188
2012-09-11,Belgium,12.5
2012-09-11,Spain,72.38166801424198
2012-09-11,Germany,58.986171204446165
2012-09-11,Iran,52.35954245548416
2012-09-11,Japan,55.01309993570128
2012-09-11,Netherlands,81.2463486880197
2012-09-11,Portugal,24.101053725339625
